City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Windhoek,NA,-22.5594,17.0832,78.48,32,97,9.26,overcast clouds
298,Palkino,RU,57.5409,28.0126,15.55,94,28,10.09,scattered clouds
299,Dukat,RU,62.55,155.55,-17.27,69,67,8.21,broken clouds
300,Borsad,IN,22.4167,72.9,65.41,20,0,1.23,clear sky
301,Lumphat,KH,13.4878,106.9816,72.68,70,4,9.24,clear sky
302,Iroquois Falls,CA,48.7669,-80.6831,-3.1,81,100,2.46,overcast clouds
303,Saint-Augustin,CA,51.226,-58.6502,-1.53,71,100,9.17,overcast clouds
304,Houston,US,29.7633,-95.3633,31.08,79,100,1.01,overcast clouds
305,Carutapera,BR,-1.195,-46.02,82.22,74,100,7.83,overcast clouds
306,Guanica,PR,17.9716,-66.908,84.97,70,97,4.0,overcast clouds
307,Staraya Russa,RU,57.9944,31.3608,4.57,99,75,5.1,broken clouds
308,Souillac,MU,-20.5167,57.5167,80.37,89,75,11.5,light rain
309,Isangel,VU,-19.55,169.2667,78.15,89,100,8.63,moderate rain
310,Pedra Azul,BR,-16.0053,-41.2972,79.34,74,99,4.81,overcast clouds
311,Pokrovsk,UA,48.282,37.1758,23.52,96,100,10.71,light snow
312,Fortuna,US,40.5982,-124.1573,44.65,95,100,0.0,overcast clouds
313,Murygino,RU,58.7383,49.4582,15.57,92,100,8.25,overcast clouds
314,Oranjestad,AW,12.524,-70.027,79.09,79,1,18.32,clear sky
315,Sorland,NO,67.667,12.6934,33.66,90,100,24.14,overcast clouds
316,Ormara,PK,25.2088,64.6357,71.98,62,0,16.8,clear sky
317,Karratha,AU,-20.7377,116.8463,86.61,64,92,4.94,overcast clouds
318,Guider,CM,9.9342,13.9486,82.98,11,1,8.99,clear sky
319,Snyder,US,32.7179,-100.9176,25.52,63,0,6.91,clear sky
320,Belyy Yar,RU,53.6039,91.3903,-14.91,79,56,0.0,smoke
321,Sola,VU,-13.8833,167.55,81.03,80,100,26.87,heavy intensity rain
322,Pafos,CY,34.7667,32.4167,53.51,66,20,3.44,few clouds
323,Lokosovo,RU,61.1333,74.8167,25.18,95,100,7.87,overcast clouds
324,Alihe,CN,50.5667,123.7167,-2.06,90,100,3.49,overcast clouds
325,Kruisfontein,ZA,-34.0033,24.7314,66.88,59,100,6.71,overcast clouds
326,Matara,LK,5.9485,80.5353,74.71,81,41,3.49,scattered clouds
327,Merauke,ID,-8.4667,140.3333,81.01,80,100,12.82,overcast clouds
328,Grindavik,IS,63.8424,-22.4338,27.07,74,75,4.61,broken clouds
329,Mandalgovi,MN,45.7625,106.2708,4.28,75,91,7.85,overcast clouds
330,Salamanca,ES,40.8333,-6.0,49.78,72,100,6.24,overcast clouds
331,Skjervoy,NO,70.0311,20.9714,23.18,69,100,34.92,overcast clouds
332,Mizdah,LY,31.4451,12.9801,57.15,25,0,6.26,clear sky
333,Verkhoyansk,RU,67.5447,133.385,-40.02,100,61,0.74,broken clouds
334,Khadro,PK,26.1472,68.7176,62.64,16,0,2.59,clear sky
335,Ati,TD,13.2154,18.3353,76.33,11,0,11.86,clear sky
336,Duiwelskloof,ZA,-23.6934,30.14,74.12,73,11,10.0,light rain
337,Yarada,IN,17.65,83.2667,77.32,83,40,2.3,mist
338,Lompoc,US,34.6391,-120.4579,65.12,67,0,5.75,clear sky
339,La Ronge,CA,55.1001,-105.2842,-13.67,90,100,5.55,overcast clouds
340,Syracuse,IT,37.0881,15.2792,59.43,76,73,11.81,broken clouds
341,Dingle,PH,10.9995,122.6711,73.76,93,100,11.07,overcast clouds
342,Alice Town,BS,25.7167,-79.3,74.48,68,7,10.58,clear sky
343,East London,ZA,-33.0153,27.9116,65.34,100,75,6.91,broken clouds
