City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Vanimo,PG,76.73,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
458,Daru,PG,78.19,overcast clouds,-9.0763,143.2092,Daru Lodge
464,Beloha,MG,73.78,clear sky,-25.1667,45.05,
468,Guaraniacu,BR,69.26,overcast clouds,-25.1008,-52.8781,Dalla´s Hotel
469,Kochi,IN,75.18,broken clouds,9.9399,76.2602,Hotel Abad
483,Antofagasta,CL,74.21,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
491,Majene,ID,78.17,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
493,Menongue,AO,65.32,overcast clouds,-14.6585,17.691,Ritz Lauca
501,Catuday,PH,76.82,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
505,Biak,ID,76.05,overcast clouds,-0.9131,122.8766,Penginapan Kim
507,Pandan,PH,75.04,light rain,14.0453,124.1694,Bonifacio Lodge
514,Kalmunai,LK,76.26,clear sky,7.4167,81.8167,VS Villa
515,Port Moresby,PG,76.93,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
516,Tres Passos,BR,77.59,overcast clouds,-27.4556,-53.9319,Hotel Imperial
517,Viedma,AR,65.66,overcast clouds,-40.8135,-62.9967,Hotel Cristal
524,Bilma,NE,66.34,clear sky,18.6853,12.9164,Expeditions Ténére voyages
531,Gamba,GA,79.63,scattered clouds,-2.65,10.0,
534,Tete,MZ,78.89,thunderstorm with light rain,-16.1564,33.5867,Zambeze Paraíso Misterioso
537,Ambunti,PG,72.97,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
539,Kalengwa,ZM,65.41,light rain,-13.4659,25.0027,
547,Cockburn Town,TC,75.76,clear sky,21.4612,-71.1419,Osprey Beach Hotel
557,Hobyo,SO,77.09,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
569,Porto Santo,PT,70.3,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
573,Buraydah,SA,73.85,scattered clouds,26.326,43.975,فندق راحة السلام
575,Bambanglipuro,ID,77.13,very heavy rain,-7.95,110.2833,Puri Brata
576,Kihei,US,68.85,clear sky,20.785,-156.4656,Maui Sunset
577,Mount Darwin,ZW,68.43,light rain,-16.7725,31.5838,
580,Gladstone,AU,73.33,overcast clouds,-23.85,151.25,Highpoint International Hotel
583,Saint-Leu,RE,79.66,light rain,-21.15,55.2833,La Caz Oceane
585,Manado,ID,74.17,scattered clouds,1.487,124.8455,Aryaduta Hotel
586,Kindu,CD,72.79,moderate rain,-2.95,25.95,Résidence Okanda
588,Calama,CL,70.29,few clouds,-22.4667,-68.9333,Diego De Almagro Calama
591,Plettenberg Bay,ZA,65.26,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
595,Road Town,VG,75.29,light intensity shower rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
606,Biloela,AU,67.06,broken clouds,-24.4167,150.5,Biloela Silo Motor Inn
609,Manokwari,ID,78.28,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
610,Kiunga,PG,71.74,light rain,-6.1219,141.2906,Airport Lodge Kiunga
612,Chacabuco,AR,78.8,moderate rain,-34.6417,-60.4739,Club de Pesca Caza y Balneario
613,Makakilo City,US,67.28,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
616,Nampula,MZ,76.95,light rain,-15.1165,39.2666,BUTIK Hotel
623,Ahipara,NZ,71.15,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
639,Musoma,TZ,73.65,overcast clouds,-1.5,33.8,New Peninsula Hotel
643,Karaton,ID,75.36,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
655,Toribio,CO,74.8,scattered clouds,2.9548,-76.2684,Casa de Huespedes Toribio
658,Dingalan,PH,75.07,overcast clouds,15.3897,121.3929,Fil Dane Inn
663,Kerema,PG,76.66,moderate rain,-7.9631,145.7785,Frena Lodge
665,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
667,Srandakan,ID,77.32,very heavy rain,-7.9386,110.2506,Puri Brata
676,Alugan,PH,75.72,overcast clouds,12.2188,125.4808,JM Lodge
690,Valparaiso,CL,71.24,clear sky,-33.0393,-71.6273,Hotel Ultramar
694,Vangaindrano,MG,75.78,light rain,-23.35,47.6,Hotel Fanilo
698,Minab,IR,69.3,clear sky,27.1467,57.0801,Bam campground
700,Bukama,CD,68.02,overcast clouds,-9.2,25.85,
